# Kiwix English ZIM best/latest files - v20260402l
# Generated: 2026-04-02 17:38:15
# Total files: 568
# Total size: 1.09 TiB
# Format: filename|size_human|size_bytes|url|torrent_url

100r.co_en_all_2026-02.zim|160.00 MiB|167772160|https://download.kiwix.org/zim/zimit/100r.co_en_all_2026-02.zim|https://download.kiwix.org/zim/zimit/100r.co_en_all_2026-02.zim.torrent
3dprinting.stackexchange.com_en_all_2026-02.zim|115.00 MiB|120586240|https://download.kiwix.org/zim/stack_exchange/3dprinting.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/3dprinting.stackexchange.com_en_all_2026-02.zim.torrent
academia.stackexchange.com_en_all_2026-02.zim|279.00 MiB|292552704|https://download.kiwix.org/zim/stack_exchange/academia.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/academia.stackexchange.com_en_all_2026-02.zim.torrent
ai.stackexchange.com_en_all_2026-02.zim|100.00 MiB|104857600|https://download.kiwix.org/zim/stack_exchange/ai.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/ai.stackexchange.com_en_all_2026-02.zim.torrent
alcohol.stackexchange.com_en_all_2026-02.zim|13.00 MiB|13631488|https://download.kiwix.org/zim/stack_exchange/alcohol.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/alcohol.stackexchange.com_en_all_2026-02.zim.torrent
allthetropes_en_all_maxi_2025-07.zim|1.40 GiB|1503238553|https://download.kiwix.org/zim/other/allthetropes_en_all_maxi_2025-07.zim|https://download.kiwix.org/zim/other/allthetropes_en_all_maxi_2025-07.zim.torrent
alpinelinux_en_all_maxi_2026-01.zim|2.90 MiB|3040870|https://download.kiwix.org/zim/other/alpinelinux_en_all_maxi_2026-01.zim|https://download.kiwix.org/zim/other/alpinelinux_en_all_maxi_2026-01.zim.torrent
android.stackexchange.com_en_all_2026-02.zim|392.00 MiB|411041792|https://download.kiwix.org/zim/stack_exchange/android.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/android.stackexchange.com_en_all_2026-02.zim.torrent
anime.stackexchange.com_en_all_2026-02.zim|228.00 MiB|239075328|https://download.kiwix.org/zim/stack_exchange/anime.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/anime.stackexchange.com_en_all_2026-02.zim.torrent
anonymousplanet.org_en_all_2026-02.zim|27.00 MiB|28311552|https://download.kiwix.org/zim/zimit/anonymousplanet.org_en_all_2026-02.zim|https://download.kiwix.org/zim/zimit/anonymousplanet.org_en_all_2026-02.zim.torrent
apod.nasa.gov_en_all_2026-02.zim|8.50 GiB|9126805504|https://download.kiwix.org/zim/zimit/apod.nasa.gov_en_all_2026-02.zim|https://download.kiwix.org/zim/zimit/apod.nasa.gov_en_all_2026-02.zim.torrent
apple.stackexchange.com_en_all_2026-02.zim|1.10 GiB|1181116006|https://download.kiwix.org/zim/stack_exchange/apple.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/apple.stackexchange.com_en_all_2026-02.zim.torrent
appropedia_en_all_maxi_2026-02.zim|555.00 MiB|581959680|https://download.kiwix.org/zim/other/appropedia_en_all_maxi_2026-02.zim|https://download.kiwix.org/zim/other/appropedia_en_all_maxi_2026-02.zim.torrent
archlinux_en_all_maxi_2025-09.zim|30.00 MiB|31457280|https://download.kiwix.org/zim/other/archlinux_en_all_maxi_2025-09.zim|https://download.kiwix.org/zim/other/archlinux_en_all_maxi_2025-09.zim.torrent
arduino.stackexchange.com_en_all_2026-02.zim|247.00 MiB|258998272|https://download.kiwix.org/zim/stack_exchange/arduino.stackexchange.com_en_all_2026-02.zim|https://download.kiwix.org/zim/stack_exchange/arduino.stackexchange.com_en_all_2026-02.zim.torrent
armypubs_en_all_2024-12.zim|7.70 GiB|8267812044|https://download.kiwix.org/zim/zimit/armypubs_en_all_2024-12.zim|https://download.kiwix.org/zim/zimit/armypubs_en_all_2024-12.zim.torrent
artofproblemsolving_en_all_maxi_2021-03.zim|196.00 MiB|205520896|https://download.kiwix.org/zim/other/artofproblemsolving_en_all_maxi_2021-03.zim|https://download.kiwix.org/zim/other/artofproblemsolving_en_all_maxi_2021-03.zim.torrent
